iter	RMSE
0	4566570.293
1	4376743.88
2	4209282.628
3	4068779.708
4	3933294.502
5	3813220.477
6	3704724.559
7	3606288.136
8	3519961.146
9	3439437.464
10	3369946.759
11	3309818.935
12	3257840.682
13	3205635.474
14	3164593.277
15	3119069.446
16	3084700.319
17	3049845.747
18	3022048.651
19	2991740.382
20	2964315.746
21	2939719.509
22	2919000.708
23	2895759.268
24	2872198.469
25	2852893.963
26	2834149.582
27	2817349.326
28	2800046.848
29	2785887.437
30	2770436.365
31	2758138.438
32	2743781.826
33	2733003.194
34	2722268.384
35	2711939.87
36	2700948.038
37	2691207.329
38	2683100.592
39	2674167.581
40	2668479.994
41	2661141.016
42	2656805.504
43	2649481.14
44	2644146.434
45	2636546.859
46	2630186.501
47	2623692.868
48	2618272.828
49	2612153.22
50	2606686.682
51	2600687.347
52	2596588.683
53	2592428.99
54	2588768.896
55	2584521.494
56	2580296.998
57	2575766.039
58	2571605.95
59	2565969.988
60	2559764.759
61	2554571.193
62	2549858.377
63	2544970.89
64	2541403.377
65	2538707.318
66	2533413.832
67	2530362.215
68	2525966.638
69	2522903.906
70	2518521.455
71	2514839.124
72	2509722.894
73	2506830.598
74	2504237.657
75	2501609.475
76	2497698.103
77	2494206.072
78	2490806.026
79	2488401.139
80	2484948.22
81	2483075.224
82	2480946.946
83	2478477.92
84	2477065.814
85	2475176.426
86	2473462.697
87	2470743.634
88	2468305.899
89	2465361.671
90	2463775.489
91	2461521.809
92	2458561.521
93	2453252.911
94	2449610.447
95	2446908.199
96	2442975.11
97	2440564.023
98	2439028.332
99	2437106.102
100	2434339.137
101	2432295.682
102	2431169.528
103	2429214.841
104	2426527.955
105	2424973.871
106	2422855.624
107	2420457.391
108	2418702.141
109	2414767.112
110	2411351.852
111	2409717.08
112	2407170.943
113	2404711.092
114	2403047.279
115	2399575.04
116	2397420.606
117	2396657.938
118	2395895.811
119	2393377.62
120	2389674.407
121	2388230.979
122	2387028.932
123	2385909.539
124	2383542.986
125	2381525.645
126	2379409.479
127	2375265.685
128	2373675.501
129	2371151.66
