iter	Passed	Remaining
0	57	57451
1	104	51965
2	150	49950
3	212	52836
4	275	54879
5	321	53247
6	367	52188
7	430	53327
8	481	52966
9	532	52743
10	579	52103
11	634	52261
12	695	52842
13	749	52757
14	796	52334
15	850	52325
16	911	52723
17	959	52357
18	1008	52078
19	1071	52504
20	1128	52612
21	1178	52409
22	1225	52037
23	1278	51997
24	1328	51825
25	1376	51574
26	1421	51232
27	1480	51404
28	1532	51325
29	1578	51052
30	1623	50759
31	1684	50961
32	1738	50931
33	1783	50663
34	1831	50486
35	1886	50515
36	1954	50858
37	1999	50627
38	2047	50454
39	2109	50618
40	2167	50698
41	2213	50492
42	2258	50275
43	2311	50232
44	2371	50334
45	2420	50201
46	2468	50047
47	2528	50151
48	2587	50226
49	2633	50028
50	2681	49904
51	2753	50198
52	2808	50175
53	2853	49985
54	2897	49788
55	2952	49767
56	3011	49828
57	3060	49712
58	3106	49553
59	3161	49528
60	3220	49575
61	3267	49428
62	3316	49326
63	3379	49419
64	3437	49453
65	3485	49329
66	3533	49203
67	3583	49108
68	3643	49161
69	3691	49048
70	3738	48910
71	3801	48994
72	3859	49015
73	3907	48899
74	3954	48766
75	4018	48856
76	4079	48897
77	4125	48769
78	4173	48659
79	4234	48696
80	4286	48635
81	4333	48516
82	4380	48396
83	4435	48362
84	4494	48383
85	4540	48258
86	4587	48139
87	4650	48199
88	4710	48219
89	4760	48134
90	4810	48049
91	4868	48053
92	4930	48086
93	4979	47989
94	5026	47888
95	5087	47902
96	5144	47892
97	5191	47779
98	5239	47687
99	5299	47696
100	5357	47689
101	5403	47575
102	5451	47476
103	5498	47374
104	5560	47396
105	5606	47288
106	5654	47192
107	5716	47215
108	5776	47216
109	5824	47123
110	5873	47041
111	5933	47041
112	5985	46979
113	6031	46876
114	6078	46780
115	6148	46857
116	6208	46858
117	6253	46744
118	6299	46636
119	6367	46698
120	6429	46703
121	6475	46600
122	6522	46503
123	6582	46500
124	6645	46517
125	6693	46432
126	6741	46338
127	6800	46331
128	6859	46315
129	6914	46276
130	6961	46176
131	7016	46135
132	7078	46141
133	7123	46038
134	7180	46006
135	7234	45963
136	7295	45956
137	7343	45869
138	7400	45839
139	7454	45794
140	7513	45775
141	7558	45670
142	7605	45580
143	7655	45508
144	7732	45595
145	7794	45591
146	7840	45497
147	7893	45443
148	7952	45420
149	7999	45331
150	8048	45253
151	8110	45249
152	8169	45224
153	8216	45137
154	8260	45031
155	8309	44955
156	8369	44941
157	8416	44853
158	8464	44768
159	8525	44761
160	8587	44750
161	8635	44669
162	8683	44590
163	8730	44502
164	8789	44478
165	8837	44400
166	8886	44326
167	8945	44299
168	9006	44284
169	9054	44209
170	9099	44115
171	9159	44093
172	9223	44091
173	9272	44019
174	9320	43941
175	9380	43917
176	9429	43844
177	9474	43753
178	9519	43664
179	9580	43644
180	9642	43632
181	9693	43565
182	9742	43493
183	9795	43440
184	9857	43424
185	9903	43339
186	9948	43251
187	10000	43193
188	10060	43171
189	10108	43095
190	10154	43012
191	10217	42998
192	10264	42919
193	10310	42835
194	10358	42761
195	10419	42741
196	10477	42707
197	10522	42623
198	10572	42556
199	10622	42490
200	10685	42476
201	10730	42389
202	10777	42315
203	10835	42279
204	10898	42264
205	10945	42188
206	11003	42152
207	11070	42151
208	11134	42139
209	11183	42073
210	11238	42025
211	11300	42002
212	11373	42021
213	11418	41940
214	11465	41863
215	11516	41798
216	11576	41772
217	11626	41706
218	11678	41648
219	11731	41593
220	11791	41564
221	11837	41485
222	11883	41404
223	11932	41337
224	11995	41316
225	12040	41237
226	12119	41269
227	12185	41259
228	12242	41219
229	12292	41152
230	12331	41052
231	12385	41001
232	12443	40961
233	12489	40885
234	12534	40803
235	12588	40751
236	12647	40718
237	12694	40642
238	12738	40561
239	12790	40503
240	12852	40476
241	12904	40421
242	12951	40347
243	13014	40325
244	13068	40272
245	13116	40202
246	13163	40129
247	13226	40106
248	13278	40048
249	13323	39969
250	13367	39889
251	13426	39854
252	13488	39824
253	13529	39735
254	13575	39661
255	13631	39615
256	13688	39574
257	13736	39506
258	13782	39431
259	13847	39412
260	13906	39376
261	13951	39299
262	13998	39227
263	14049	39167
264	14100	39108
265	14147	39037
266	14195	38971
267	14250	38923
268	14308	38883
269	14354	38810
270	14399	38734
271	14450	38676
272	14512	38646
273	14560	38579
274	14605	38506
275	14670	38482
276	14730	38447
277	14778	38381
278	14825	38311
279	14885	38277
280	14948	38248
281	14993	38174
282	15040	38106
283	15108	38089
284	15162	38040
285	15211	37976
286	15256	37902
287	15315	37863
288	15377	37831
289	15431	37780
290	15478	37713
291	15533	37662
292	15595	37630
293	15645	37570
294	15693	37504
295	15783	37540
296	15840	37495
297	15888	37427
298	15935	37360
299	15999	37332
300	16063	37303
301	16111	37238
302	16157	37167
303	16217	37129
304	16275	37087
305	16320	37014
306	16367	36946
307	16425	36903
308	16476	36846
309	16526	36784
310	16573	36717
311	16625	36660
312	16680	36611
313	16730	36550
314	16777	36484
315	16837	36446
316	16898	36409
317	16941	36334
318	16988	36267
319	17040	36210
320	17099	36170
321	17149	36108
322	17195	36041
323	17257	36006
324	17314	35960
325	17362	35896
326	17411	35834
327	17471	35795
328	17531	35755
329	17576	35686
330	17624	35622
331	17679	35571
332	17731	35516
333	17794	35481
334	17839	35413
335	17903	35380
336	17965	35344
337	18012	35279
338	18060	35215
339	18136	35205
340	18194	35162
341	18239	35092
342	18286	35026
343	18334	34963
344	18394	34923
345	18439	34854
346	18487	34791
347	18535	34727
348	18594	34685
349	18642	34622
350	18692	34562
351	18755	34527
352	18812	34481
353	18858	34414
354	18902	34344
355	18953	34287
356	19016	34251
357	19064	34187
358	19110	34122
359	19172	34084
360	19233	34045
361	19281	33981
362	19329	33919
363	19382	33865
364	19433	33809
365	19480	33744
366	19528	33683
367	19591	33646
368	19649	33601
369	19697	33539
370	19745	33476
371	19806	33436
372	19867	33397
373	19915	33333
374	19962	33271
375	20025	33233
376	20079	33182
377	20126	33118
378	20174	33055
379	20239	33021
380	20296	32975
381	20345	32914
382	20390	32848
383	20440	32789
384	20501	32748
385	20546	32682
386	20592	32618
387	20643	32561
388	20705	32521
389	20752	32459
390	20800	32398
391	20850	32339
392	20905	32289
393	20951	32225
394	21001	32166
395	21060	32122
396	21120	32080
397	21166	32016
398	21213	31953
399	21280	31920
400	21338	31875
401	21384	31811
402	21434	31753
403	21485	31696
404	21537	31640
405	21584	31578
406	21637	31525
407	21687	31468
408	21738	31411
409	21787	31352
410	21832	31288
411	21893	31246
412	21952	31201
413	21999	31139
414	22047	31079
415	22094	31017
416	22159	30981
417	22205	30918
418	22251	30854
419	22309	30808
420	22372	30768
421	22419	30706
422	22468	30648
423	22531	30608
424	22590	30564
425	22645	30512
426	22695	30455
427	22754	30409
428	22805	30354
429	22853	30294
430	22900	30233
431	22962	30191
432	23021	30146
433	23070	30086
434	23119	30029
435	23175	29979
436	23240	29941
437	23287	29880
438	23336	29822
439	23389	29768
440	23441	29714
441	23490	29655
442	23538	29595
443	23596	29548
444	23656	29503
445	23701	29440
446	23746	29378
447	23805	29332
448	23855	29275
449	23906	29218
450	23954	29159
451	24006	29105
452	24073	29069
453	24120	29008
454	24168	28949
455	24227	28902
456	24290	28861
457	24336	28800
458	24385	28742
459	24443	28694
460	24504	28650
461	24550	28589
462	24603	28536
463	24664	28492
464	24731	28454
465	24779	28395
466	24827	28336
467	24888	28292
468	24954	28252
469	24998	28190
470	25044	28129
471	25102	28081
472	25153	28025
473	25201	27965
474	25250	27908
475	25310	27863
476	25370	27817
477	25417	27756
478	25462	27695
479	25547	27676
480	25602	27625
481	25652	27568
482	25701	27510
483	25758	27461
484	25818	27415
485	25867	27357
486	25912	27295
487	25972	27249
488	26035	27207
489	26083	27148
490	26129	27087
491	26202	27054
492	26261	27007
493	26309	26948
494	26356	26889
495	26407	26832
496	26458	26778
497	26503	26716
498	26565	26672
499	26622	26622
500	26691	26584
501	26736	26523
502	26783	26463
503	26839	26413
504	26901	26368
505	26949	26310
506	26997	26251
507	27054	26202
508	27119	26160
509	27166	26100
510	27211	26040
511	27267	25989
512	27332	25947
513	27379	25888
514	27427	25829
515	27505	25799
516	27568	25755
517	27626	25706
518	27673	25647
519	27736	25602
520	27797	25556
521	27844	25497
522	27892	25439
523	27954	25393
524	28011	25343
525	28056	25282
526	28100	25221
527	28154	25168
528	28215	25121
529	28260	25061
530	28309	25003
531	28373	24959
532	28433	24913
533	28482	24855
534	28528	24795
535	28589	24749
536	28655	24706
537	28705	24650
538	28755	24594
539	28822	24552
540	28885	24506
541	28933	24449
542	28981	24391
543	29040	24343
544	29111	24304
545	29157	24244
546	29210	24191
547	29269	24142
548	29328	24093
549	29375	24034
550	29420	23974
551	29473	23920
552	29532	23871
553	29583	23816
554	29632	23759
555	29681	23702
556	29733	23648
557	29790	23597
558	29836	23538
559	29883	23480
560	29939	23428
561	29985	23369
562	30033	23311
563	30092	23263
564	30152	23214
565	30202	23159
566	30249	23100
567	30303	23047
568	30367	23002
569	30415	22945
570	30463	22887
571	30527	22842
572	30581	22789
573	30627	22730
574	30674	22672
575	30727	22618
576	30785	22569
577	30835	22512
578	30903	22470
579	30952	22414
580	31002	22358
581	31051	22301
582	31096	22242
583	31159	22196
584	31217	22145
585	31266	22089
586	31315	22032
587	31377	21985
588	31437	21937
589	31487	21881
590	31537	21825
591	31622	21793
592	31686	21747
593	31734	21690
594	31781	21632
595	31834	21578
596	31885	21524
597	31931	21465
598	31979	21408
599	32042	21361
600	32099	21310
601	32145	21252
602	32191	21194
603	32242	21139
604	32303	21090
605	32349	21032
606	32398	20976
607	32459	20927
608	32523	20881
609	32573	20825
610	32619	20767
611	32674	20715
612	32736	20667
613	32780	20608
614	32828	20551
615	32878	20495
616	32941	20448
617	33002	20399
618	33049	20342
619	33111	20294
620	33163	20239
621	33211	20183
622	33259	20126
623	33311	20072
624	33372	20023
625	33421	19967
626	33469	19910
627	33534	19864
628	33593	19814
629	33640	19757
630	33688	19700
631	33761	19658
632	33820	19608
633	33867	19551
634	33913	19493
635	33965	19439
636	34022	19387
637	34069	19330
638	34118	19274
639	34167	19219
640	34225	19168
641	34270	19110
642	34315	19052
643	34394	19012
644	34445	18958
645	34491	18901
646	34540	18845
647	34593	18791
648	34647	18738
649	34694	18681
650	34742	18625
651	34800	18574
652	34858	18523
653	34905	18467
654	34954	18410
655	35023	18366
656	35073	18310
657	35121	18254
658	35171	18199
659	35232	18150
660	35301	18104
661	35345	18046
662	35389	17988
663	35451	17939
664	35509	17888
665	35560	17833
666	35611	17778
667	35664	17725
668	35720	17673
669	35768	17617
670	35815	17560
671	35868	17507
672	35930	17457
673	35973	17399
674	36036	17351
675	36101	17303
676	36156	17250
677	36204	17194
678	36249	17137
679	36310	17087
680	36362	17033
