iter	Passed	Remaining
0	62	62481
1	122	61123
2	182	60624
3	240	59990
4	303	60461
5	365	60529
6	428	60828
7	487	60427
8	543	59871
9	600	59466
10	660	59346
11	722	59448
12	790	60039
13	857	60420
14	961	63165
15	1036	63747
16	1106	63969
17	1168	63772
18	1232	63641
19	1300	63736
20	1361	63451
21	1425	63376
22	1492	63377
23	1554	63230
24	1631	63617
25	1702	63792
26	1767	63703
27	1833	63648
28	1903	63744
29	1963	63494
30	2025	63309
31	2084	63055
32	2143	62809
33	2203	62600
34	2262	62392
35	2339	62651
36	2401	62513
37	2464	62396
38	2531	62390
39	2605	62531
40	2667	62402
41	2722	62092
42	2795	62215
43	2853	62003
44	2910	61770
45	2966	61520
46	3024	61320
47	3076	61026
48	3133	60814
49	3188	60572
50	3248	60450
51	3306	60281
52	3363	60093
53	3420	59917
54	3477	59755
55	3535	59599
56	3626	59989
57	3684	59842
58	3738	59620
59	3792	59417
60	3851	59286
61	3910	59162
62	3969	59043
63	4028	58916
64	4092	58866
65	4149	58724
66	4205	58559
67	4261	58411
68	4319	58283
69	4375	58131
70	4440	58098
71	4498	57980
72	4553	57828
73	4610	57694
74	4665	57535
75	4720	57391
76	4781	57312
77	4841	57226
78	4898	57107
79	4955	56987
80	5012	56872
81	5070	56762
82	5129	56672
83	5202	56733
84	5271	56741
85	5339	56745
86	5396	56628
87	5450	56485
88	5508	56389
89	5566	56279
90	5624	56178
91	5685	56111
92	5743	56010
93	5801	55918
94	5861	55835
95	5917	55720
96	5972	55601
97	6033	55532
98	6103	55547
99	6158	55428
100	6215	55324
101	6268	55186
102	6335	55171
103	6393	55082
104	6453	55005
105	6509	54902
106	6566	54805
107	6629	54755
108	6689	54681
109	6745	54577
110	6803	54485
111	6862	54411
112	6931	54410
113	7000	54408
114	7057	54314
115	7115	54225
116	7174	54147
117	7229	54040
118	7291	53981
119	7346	53871
120	7403	53781
121	7461	53701
122	7520	53624
123	7576	53525
124	7637	53459
125	7703	53433
126	7774	53442
127	7834	53371
128	7899	53337
129	7960	53272
130	8023	53223
131	8087	53178
132	8149	53124
133	8205	53027
134	8262	52938
135	8315	52825
136	8370	52728
137	8431	52667
138	8489	52586
139	8549	52520
140	8622	52529
141	8679	52444
142	8738	52368
143	8792	52268
144	8852	52200
145	8912	52130
146	8970	52051
147	9029	51983
148	9084	51884
149	9143	51813
150	9198	51721
151	9253	51626
152	9309	51537
153	9369	51470
154	9444	51489
155	9500	51399
156	9557	51317
157	9613	51232
158	9670	51150
159	9726	51066
160	9787	51006
161	9844	50921
162	9902	50848
163	9955	50750
164	10013	50675
165	10071	50602
166	10123	50495
167	10191	50472
168	10291	50606
169	10352	50545
170	10409	50464
171	10465	50382
172	10524	50311
173	10579	50220
174	10634	50132
175	10689	50048
176	10749	49981
177	10808	49914
178	10866	49838
179	10925	49770
180	10987	49716
181	11044	49641
182	11114	49618
183	11171	49544
184	11226	49456
185	11278	49357
186	11339	49298
187	11399	49234
188	11458	49166
189	11512	49081
190	11570	49009
191	11627	48932
192	11683	48853
193	11738	48769
194	11800	48715
195	11863	48666
196	11943	48682
197	12019	48686
198	12083	48636
199	12155	48622
200	12215	48557
201	12276	48498
202	12338	48442
203	12408	48415
204	12460	48323
205	12519	48254
206	12580	48193
207	12637	48121
208	12694	48046
209	12756	47989
210	12828	47971
211	12880	47878
212	12936	47798
213	12990	47714
214	13051	47653
215	13107	47574
216	13161	47491
217	13218	47415
218	13279	47356
219	13340	47299
220	13399	47233
221	13453	47147
222	13509	47071
223	13598	47109
224	13661	47054
225	13716	46976
226	13782	46934
227	13841	46865
228	13901	46802
229	13957	46725
230	14013	46652
231	14071	46581
232	14129	46513
233	14189	46448
234	14250	46388
235	14304	46307
236	14363	46242
237	14421	46172
238	14492	46144
239	14551	46080
240	14610	46014
241	14672	45958
242	14732	45894
243	14795	45842
244	14854	45777
245	14910	45702
246	14967	45629
247	15026	45565
248	15085	45497
249	15145	45437
250	15201	45363
251	15288	45378
252	15353	45331
253	15408	45254
254	15466	45185
255	15523	45116
256	15583	45053
257	15636	44970
258	15693	44899
259	15749	44824
260	15807	44757
261	15867	44695
262	15927	44632
263	15987	44570
264	16045	44504
265	16107	44445
266	16194	44459
267	16256	44401
268	16314	44335
269	16376	44276
270	16437	44218
271	16495	44149
272	16553	44083
273	16611	44015
274	16666	43938
275	16721	43863
276	16778	43794
277	16837	43728
278	16896	43664
279	16956	43601
280	17029	43572
281	17088	43508
282	17146	43441
283	17203	43372
284	17270	43328
285	17326	43255
286	17385	43190
287	17446	43131
288	17507	43072
289	17568	43012
290	17620	42931
291	17680	42870
292	17739	42805
293	17803	42753
294	17892	42760
295	17962	42721
296	18026	42668
297	18083	42600
298	18148	42547
299	18207	42483
300	18267	42421
301	18325	42354
302	18382	42285
303	18436	42209
304	18495	42144
305	18556	42086
306	18618	42028
307	18676	41960
308	18746	41922
309	18803	41853
310	18864	41792
311	18927	41737
312	18985	41670
313	19047	41612
314	19105	41546
315	19164	41482
316	19221	41414
317	19277	41344
318	19335	41277
319	19394	41213
320	19453	41150
321	19519	41099
322	19591	41063
323	19645	40988
324	19702	40920
325	19761	40856
326	19821	40795
327	19881	40733
328	19939	40666
329	19999	40605
330	20060	40545
331	20123	40489
332	20180	40422
333	20241	40362
334	20301	40300
335	20376	40266
336	20449	40231
337	20508	40166
338	20568	40104
339	20629	40044
340	20702	40008
341	20757	39936
342	20813	39867
343	20869	39798
344	20928	39733
345	20984	39664
346	21042	39598
347	21102	39535
348	21161	39473
349	21223	39414
350	21299	39383
351	21358	39319
352	21413	39248
353	21470	39180
354	21526	39111
355	21583	39043
356	21639	38975
357	21699	38913
358	21757	38847
359	21813	38780
360	21875	38722
361	21936	38661
362	21992	38592
363	22055	38536
364	22123	38488
365	22182	38425
366	22237	38355
367	22292	38284
368	22353	38224
369	22413	38163
370	22474	38104
371	22534	38041
372	22591	37975
373	22645	37904
374	22702	37837
375	22759	37771
376	22813	37700
377	22870	37633
378	22948	37602
379	23010	37543
380	23063	37470
381	23118	37400
382	23175	37334
383	23232	37269
384	23289	37202
385	23350	37142
386	23419	37096
387	23476	37030
388	23535	36967
389	23594	36904
390	23653	36840
391	23724	36797
392	23795	36753
393	23855	36690
394	23909	36620
395	23968	36558
396	24018	36480
397	24076	36416
398	24138	36358
399	24196	36295
400	24256	36233
401	24320	36178
402	24378	36114
403	24436	36050
404	24493	35983
405	24553	35922
406	24629	35884
407	24683	35815
408	24743	35754
409	24798	35685
410	24858	35624
411	24919	35565
412	24975	35498
413	25031	35431
414	25088	35365
415	25148	35304
416	25203	35237
417	25261	35173
418	25329	35122
419	25386	35057
420	25455	35008
421	25515	34947
422	25571	34880
423	25634	34823
424	25691	34758
425	25746	34691
426	25804	34627
427	25858	34558
428	25919	34498
429	25976	34433
430	26041	34380
431	26102	34320
432	26176	34277
433	26233	34212
434	26305	34166
435	26362	34101
436	26425	34044
437	26483	33981
438	26539	33915
439	26596	33850
440	26655	33788
441	26715	33726
442	26774	33664
443	26834	33603
444	26896	33544
445	26952	33479
446	27010	33415
447	27071	33355
448	27138	33303
449	27198	33243
