iter	RMSE
0	4570469.872
1	4385691.295
2	4213961.403
3	4066867.137
4	3936347.151
5	3817408.489
6	3708902.438
7	3614318.297
8	3529046.693
9	3455364.877
10	3385646.378
11	3322601.78
12	3266664.585
13	3214883.327
14	3166270.013
15	3127349.047
16	3089752.468
17	3055477.517
18	3019300.685
19	2993348.635
20	2968961.521
21	2949260.767
22	2923604.645
23	2902980.736
24	2884566.005
25	2865489.723
26	2848375.161
27	2833085.793
28	2819201.916
29	2805850.38
30	2793933.237
31	2778436.066
32	2766386.717
33	2756030.821
34	2746384.079
35	2735757.632
36	2722764.474
37	2714206.875
38	2706910.012
39	2696718.992
40	2688603.375
41	2678123.39
42	2671062.547
43	2662847.775
44	2655984.415
45	2648878.917
46	2644190.199
47	2638815.733
48	2631654.1
49	2627985.185
50	2622680.058
51	2616331.417
52	2610208.604
53	2606365.746
54	2603691.669
55	2597400.347
56	2592572.883
57	2588577.287
58	2583832.811
59	2577144.288
60	2572795.141
61	2570218.69
62	2567951.632
63	2563932.372
64	2559263.786
65	2551342.973
66	2543566.043
67	2540985.741
68	2537679.789
69	2529603.918
70	2524384.497
71	2518440.712
72	2513758.149
73	2510716.749
74	2506673.835
75	2504461.098
76	2500686.451
77	2498436.806
78	2495399.081
79	2492053.352
80	2490557.855
81	2486567.38
82	2484579.233
83	2480273.225
84	2476579.119
85	2475327.264
86	2474372.002
87	2472387.078
88	2468637.596
89	2464331.746
90	2462549.203
91	2458853.75
92	2456651.4
93	2455293.751
94	2453725.306
95	2449870.513
96	2446928.537
97	2443518.148
98	2441259.704
99	2437789.165
100	2435910.938
101	2432188.408
102	2429856.325
103	2427884.243
104	2423944.572
105	2420415.866
106	2418632.964
107	2415322.551
108	2413160.327
109	2411924.341
110	2410709.296
111	2407468.189
112	2405156.834
113	2403125.054
114	2400483.106
115	2399294.512
116	2395282.01
117	2392329.886
118	2388240.661
119	2387642.823
120	2385515.167
121	2382778.173
122	2379420.1
123	2378965.933
124	2375498.538
125	2372910.765
126	2369929.271
127	2367727.936
128	2365125.507
129	2361831.097
130	2360029.319
131	2358872.412
132	2357023.417
133	2354192.532
134	2353904.601
135	2350454.569
136	2348827.514
137	2347055.735
138	2345214.183
139	2341141.227
140	2337432.345
141	2335690.464
142	2332716.495
143	2331461.928
144	2329578.81
145	2327802.474
146	2326445.813
147	2323866.221
148	2320206.898
149	2318683.148
150	2318506.726
151	2316560.143
152	2314337.801
153	2312266.501
154	2309490.318
155	2307835.737
156	2304991.908
157	2304730.034
158	2302778.561
159	2302507.707
160	2299838.914
161	2299686.172
162	2298021.533
163	2296078.16
164	2295866.391
165	2292672.828
166	2289743.966
167	2286690.762
168	2284114.707
169	2282480.992
170	2280512.397
171	2279560.81
172	2277200.114
173	2274238.094
174	2273644.122
175	2271984.553
176	2268840.099
177	2268702.509
178	2266529.162
179	2263672.664
180	2262387.019
181	2261200.131
182	2261083.281
183	2260816.238
184	2258703.958
185	2255868.437
186	2254470.325
187	2253078.829
188	2250155.51
189	2248463.974
190	2246959.09
191	2244711.387
192	2244535.68
193	2242383.536
194	2240185.318
195	2239038.916
196	2236357.832
197	2236255.963
198	2234390.377
199	2234274.808
200	2233318.138
201	2231472.577
202	2229307.737
203	2228281.536
204	2225904.474
205	2225132.354
206	2222655.342
207	2221617.646
208	2219498.37
209	2217273.595
210	2217163.421
211	2215486.477
212	2214009.751
213	2212853.399
214	2211957.343
215	2209305.633
216	2208084.432
217	2206167.144
218	2203502.884
219	2201781.57
220	2199663.917
221	2197513.317
222	2195589.296
223	2193974.015
224	2192981.226
225	2189689.151
226	2189590.341
227	2188038.307
228	2187090.305
229	2185043.792
230	2183368.478
231	2182481.027
232	2182380.738
233	2180512.907
234	2177996.467
235	2177276.538
236	2175675.003
237	2175408.602
238	2173537.951
239	2172266.14
240	2169089.25
241	2166954.145
242	2166032.931
243	2164647.043
244	2162718.96
245	2161618.908
246	2161452.417
247	2159243.536
248	2159128.111
249	2157739.672
250	2156019.405
251	2154929.725
252	2153434.359
253	2153363.353
254	2151379.128
255	2149263.311
256	2149192.968
257	2147523.321
258	2147205.623
259	2145942.846
260	2143456.429
261	2142614.458
262	2141141.262
263	2139068.444
264	2137664.891
265	2136456.3
266	2135579.403
267	2133470.913
268	2131619.854
269	2130651.456
270	2129989.925
271	2129650.564
272	2128197.135
273	2127047.069
274	2125205.667
275	2123950.552
276	2122854.783
277	2121824.945
278	2120095.377
279	2118675.306
280	2116236.596
281	2114513.712
282	2113066.411
283	2111352.767
284	2110623.419
285	2108888.002
286	2107329.192
287	2105820.15
288	2105221.802
289	2104305.924
290	2103153.59
291	2102281.393
292	2100927.799
293	2099407.988
294	2098098.994
295	2096636.091
296	2095558.442
297	2094755.5
298	2093410.212
299	2091619.512
300	2089496.841
301	2088400.869
302	2088324.484
303	2087392.592
304	2086643.332
305	2085879.435
306	2085816.565
307	2084368.579
308	2082672.413
309	2081758.187
310	2080830.085
311	2078745.273
312	2077574.701
313	2075725.747
314	2075660.097
315	2074816.682
316	2073945.304
317	2072957.534
318	2072162.039
319	2070982.429
320	2069916.845
321	2069088.027
322	2067790.794
323	2066239.768
324	2065464.193
325	2064311.314
326	2063146.013
327	2061511.527
328	2061464.043
329	2059651.801
330	2058447.11
331	2057376.606
332	2056521.558
333	2055408.036
334	2053761.47
335	2052822.132
336	2052034.489
337	2051203.28
338	2050088.767
339	2048908.41
340	2048857.49
341	2048203.007
342	2047423.13
343	2046277.673
344	2044680.604
345	2042869
346	2042195.689
347	2041464.814
348	2040823.333
349	2038989.734
350	2037956.224
351	2037415.067
352	2036057.886
353	2035101.261
354	2034282.625
355	2033364.429
356	2032604.065
357	2031769.404
358	2031012.62
359	2030274.801
360	2029224.699
361	2028560.133
362	2027139.35
363	2026522.232
364	2025630.621
365	2024367.319
366	2023734.721
367	2023373.654
368	2022342.589
369	2022247.28
370	2020851.822
371	2020236.668
372	2019245.424
373	2017543.416
374	2016393.02
375	2015943.598
376	2014544.488
377	2013650.748
378	2012483.835
379	2011302.787
380	2009930.974
381	2009891.494
382	2008385.514
383	2007485.952
